number,state,value,module_config.vin.head_hidden_dim,module_config.vin.head_num_layers,module_config.vin.head_dropout,module_config.vin.head_activation,module_config.vin.field_dim,module_config.vin.field_gn_groups,module_config.vin.global_pool_grid_size,module_config.vin.pose_scale_init,module_config.vin.scene_field_channels,module_config.optimizer.learning_rate,module_config.optimizer.weight_decay,module_config.vin.use_point_encoder,module_config.vin.use_traj_encoder,module_config.vin.enable_semidense_frustum,module_config.vin.semidense_include_obs_count,module_config.vin.semidense_visibility_embed,module_config.vin.semidense_frustum_mask_invalid,module_config.vin.use_voxel_valid_frac_feature,module_config.vin.use_voxel_valid_frac_gate,module_config.vin.point_encoder.out_dim,module_config.vin.point_encoder.max_points,module_config.vin.semidense_proj_grid_size,module_config.vin.semidense_proj_max_points,module_config.vin.semidense_frustum_max_points,module_config.lr_scheduler.max_lr,module_config.lr_scheduler.div_factor,module_config.lr_scheduler.final_div_factor,module_config.lr_scheduler.pct_start
0,FAIL,,192.0,1.0,0.15349050666614247,gelu,96.0,5.0,8.0,"0.5,1.0",occ_pr+counts_norm,7.784679681611905e-05,0.0006450099622956392,,,,,,,,,,,,,,,,,
2,FAIL,0.7495880126953125,,,,,,,5.0,,,6.509326299365887e-05,0.0003687312564133651,False,True,False,False,True,True,True,False,,,,,,,,,
3,FAIL,,,,,,,,6.0,,,0.00010850691819635714,0.041843080287155304,False,False,True,False,True,True,False,True,,,,,,,,,
4,COMPLETE,0.7286505103111267,,,,,,,8.0,,,1.6528617200506095e-05,0.008056541082809626,False,True,True,True,True,True,False,False,,,,,,,,,
5,COMPLETE,0.7296472787857056,,,,,,,5.0,,,7.507127487159051e-05,0.00011086733604443435,False,False,True,False,True,True,True,False,,,,,,,,,
6,COMPLETE,0.727940022945404,,,,,,,5.0,,,1.1108095732789401e-05,0.0006969876417566859,False,False,False,False,True,True,True,True,,,,,,,,,
7,COMPLETE,0.7295556664466858,,,,,,,7.0,,,0.000247485846843363,0.0033967980489743635,False,False,False,True,True,True,False,True,,,,,,,,,
8,COMPLETE,0.7248542904853821,,,,,,,5.0,,,0.00011598651729339556,0.005669566799732932,False,True,True,True,True,True,True,False,,,,,,,,,
9,COMPLETE,0.7250201106071472,,,,,,,5.0,,,4.4505630268533613e-05,0.019307361540016093,False,True,True,True,True,True,True,False,,,,,,,,,
10,COMPLETE,0.7310072779655457,,,,,,,5.0,,,1.8081048311110217e-05,0.00022766851036700695,False,False,True,True,True,True,True,False,,,,,,,,,
11,COMPLETE,0.725633442401886,,,,,,,5.0,,,2.3476147419384422e-05,0.00039236602794502266,False,True,True,True,True,True,True,False,,,,,,,,,
12,COMPLETE,0.7294303178787231,,,,,,,7.0,,,4.2784526408915375e-05,0.00012685639457917525,False,False,True,False,True,True,False,False,,,,,,,,,
13,COMPLETE,0.7277396321296692,,,,,,,6.0,,,0.00025468874073083874,0.007609445265543688,False,False,False,True,False,True,True,True,,,,,,,,,
14,COMPLETE,0.7276282906532288,,,,,,,8.0,,,1.0342647498634156e-05,0.07508845253893066,False,True,False,False,True,False,False,True,,,,,,,,,
15,COMPLETE,0.7267470955848694,,,,,,,4.0,,,8.203325426458949e-05,0.0010542474711157867,False,True,True,False,True,True,False,False,,,,,,,,,
16,COMPLETE,0.7268134355545044,,,,,,,8.0,,,0.00011081196420230505,0.03410446411108197,False,True,True,False,True,True,False,False,,,,,,,,,
17,COMPLETE,0.7294324636459351,,,,,,,7.0,,,2.6994917217144537e-05,0.0011642520331921363,False,False,True,False,True,True,False,False,,,,,,,,,
18,COMPLETE,0.7296522259712219,,,,,,,6.0,,,6.934013089948461e-05,0.013052230541178366,False,False,True,True,True,True,True,False,,,,,,,,,
19,COMPLETE,0.7267478108406067,,,,,,,4.0,,,0.00015092932939343983,0.00192740005991055,False,True,True,False,True,True,False,False,,,,,,,,,
20,COMPLETE,0.7247058153152466,,,,,,,8.0,,,3.498274946816459e-05,0.0032501263020804556,False,True,True,False,True,True,True,False,,,,,,,,,
21,COMPLETE,0.7296913862228394,,,,,,,6.0,,,1.7014458976061943e-05,0.0003831979857540247,False,False,True,True,True,True,False,False,,,,,,,,,
22,COMPLETE,0.7297847270965576,,,,,,,6.0,,,6.190312704193285e-05,0.00011348991897996625,False,False,False,True,False,False,False,True,,,,,,,,,
23,COMPLETE,0.7248201966285706,,,,,,,4.0,,,0.0001821607714038779,0.07873865684908014,False,True,True,False,True,True,True,False,,,,,,,,,
24,COMPLETE,0.759514331817627,128.0,2.0,0.2638040529713811,,16.0,4.0,4.0,,,,0.07529469282824594,True,True,True,False,False,False,True,False,64.0,2500.0,20.0,8192.0,1280.0,2.150253866255266e-05,6.7010243416263435,442.62506204337956,0.4692777006233444
25,COMPLETE,0.7537668943405151,512.0,3.0,0.05217505820172083,,64.0,8.0,4.0,,,,0.00371591696572789,True,True,True,False,False,False,True,False,256.0,6000.0,8.0,2048.0,256.0,0.0021318766640547383,49.92894493767651,70148.55108758846,0.050540244960451036
26,COMPLETE,0.7421087622642517,448.0,1.0,0.3975110715880851,,56.0,1.0,4.0,,,,0.005401130708854076,True,True,True,False,True,False,True,False,64.0,1000.0,24.0,5120.0,2048.0,0.0005483461218610998,32.131162972187425,17133.958556010617,0.21745296231526437
27,COMPLETE,0.7602723836898804,64.0,3.0,0.009280907505180763,,8.0,8.0,5.0,,,,0.030145645507405238,True,True,True,False,False,True,True,False,256.0,6000.0,8.0,8192.0,256.0,1.1271902098975996e-05,6.521899329861803,175.55064779378085,0.4996813279610457
28,COMPLETE,0.7639735341072083,256.0,1.0,0.19766639766513194,,32.0,1.0,4.0,,,,0.002187220507077029,True,True,True,False,True,True,True,False,192.0,4000.0,16.0,2048.0,2048.0,6.8847357189515e-05,27.182295569567557,2980.9543048365013,0.30259525994810305
29,COMPLETE,0.743749737739563,320.0,2.0,0.15542877571884992,,40.0,5.0,7.0,,,,0.04229817086955952,False,True,,,,,True,False,,,,,,0.00021999870367718215,46.18864946864295,2285.4093420588797,0.07798507809283892
30,COMPLETE,0.7335764169692993,256.0,1.0,0.37272316713924125,,32.0,5.0,5.0,,,,0.014932675294752827,True,True,True,False,True,True,True,True,128.0,4000.0,16.0,5120.0,1024.0,0.001604495861294479,19.41109007446488,88959.79199589779,0.3322744951157315
31,COMPLETE,0.7574250102043152,384.0,3.0,0.10906938936142802,,48.0,3.0,4.0,,,,0.008633425556628502,False,True,,,,,True,False,,,,,,5.823543002673512e-05,39.00875185861257,13284.954207755527,0.19982500526028488
32,COMPLETE,0.7495282888412476,128.0,2.0,0.2854896299789407,,16.0,6.0,8.0,,,,0.00145560243243823,False,True,,,,,True,False,,,,,,0.0004696102260776016,15.136282480101299,707.0634374112387,0.40622538478816805
33,COMPLETE,0.7503791451454163,512.0,3.0,0.3083018718743228,,64.0,3.0,8.0,,,,0.007081483986759547,False,True,,,,,True,False,,,,,,6.565406447061528e-05,27.938659919778704,13025.324664788222,0.14560860886675797
34,FAIL,,192.0,1.0,0.1047724948945592,,24.0,7.0,,,,,,,,,,,,,,,,,,,,,,
35,FAIL,,192.0,1.0,0.09239022724647006,,24.0,7.0,,,,,,,,,,,,,,,,,,,,,,
